date,race_name,head,frame,house_num,pop,rank,distance,rank_dis
2023/12/24,有馬記念(G1),16,4,8,10,13,芝2500,0.9
2023/11/12,エリザベス女王杯(G1),15,6,11,4,4,芝2200,0.3
2023/10/14,アイルランド府中牝馬(G2),13,6,8,10,3,芝1800,0.1
2023/06/25,宝塚記念(G1),17,1,1,13,17,芝2200,1.5
2023/05/28,目黒記念(G2),18,2,4,5,9,芝2500,0.6
2023/03/25,日経賞(G2),12,4,4,3,4,芝2500,1.5
2022/11/13,エリザベス女王杯(G1),18,7,15,12,2,芝2200,0.3
2022/10/16,秋華賞(G1),16,1,2,6,10,芝2000,0.8
2022/09/10,紫苑S(G3),12,6,8,6,3,芝2000,0.1
2022/05/22,優駿牝馬(G1),17,6,12,12,11,芝2400,1.5
